sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
2|1|PANAL|JOSÉ ALBERTO MARTÍNEZ CARRILLO|ROGELIO ESPINOZA GUERRA
2|1|MORENA|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PAN-PRD-MC|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PAN-PRD|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PAN-MC|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PRD-MC|DAVID DE LA ROSA ANAYA|RAMON ADRIAN MARIN COTA
2|1|PT-MORENA-PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PT-MORENA|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|PT-PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|1|MORENA-PES|JESUS SALVADOR MINOR MORA|JUAN MELENDREZ ESPINOZA
2|2|PAN|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PRI|JOSE LAURO ARESTEGUI VERDUGO|MARCO ANAXIMANDRO CASTILLO JIMENEZ
2|2|PRD|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PVEM|ALEJANDRA SERRA CASTELLANOS|LEXY YULIANA YAÑEZ LAMAS
2|2|PT|MARINA DEL PILAR AVILA OLMEDA|MARTHA LIZETH NORIEGA GALAZ
2|2|MC|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PANAL|MIGUEL ALEJANDRO ESTRELLA MONTOYA|HECTOR PONCE FELIX
2|2|MORENA|MARINA DEL PILAR AVILA OLMEDA|MARTHA LIZETH NORIEGA GALAZ
2|2|PES|MARINA DEL PILAR AVILA OLMEDA|MARTHA LIZETH NORIEGA GALAZ
2|2|PAN-PRD-MC|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PAN-PRD|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PAN-MC|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PRD-MC|MONICA BEDOYA SERNA|ROSA MARIA GERALDO GARCIA
2|2|PT-MORENA-PES|MARINA DEL PILAR AVILA OLMEDA|MARTHA LIZETH NORIEGA GALAZ
2|2|PT-MORENA|MARINA DEL PILAR AVILA OLMEDA|MARTHA LIZETH NORIEGA GALAZ
2|2|PT-PES|MARINA DEL PILAR AVILA OLMEDA|MARTHA LIZETH NORIEGA GALAZ
2|2|MORENA-PES|MARINA DEL PILAR AVILA OLMEDA|MARTHA LIZETH NORIEGA GALAZ
2|3|PAN|JACINTO SANCHEZ CARO|JUAN CARLOS ROSAS ROJAS
2|3|PRI|GENESIS MARQUEZ RUBALCAVA|FENKYA FILATOFF FLORES
2|3|PRD|JACINTO SANCHEZ CARO|JUAN CARLOS ROSAS ROJAS
2|3|PVEM|CARMEN LIDIA SALAZAR GUERRA|JACQUELINE DENISE IZABAL BITTERLIN
2|3|PT|ARMANDO REYES LEDESMA|CHRISTIAN HIRAM DUNN FITCH
2|3|MC|JACINTO SANCHEZ CARO|JUAN CARLOS ROSAS ROJAS
2|3|PANAL|FRANCISCO ALFREDO ORTEGA GAMBOA|JOAB BOJORQUEZ MARTINEZ
2|3|MORENA|ARMANDO REYES LEDESMA|CHRISTIAN HIRAM DUNN FITCH
2|3|PES|ARMANDO REYES LEDESMA|CHRISTIAN HIRAM DUNN FITCH
2|3|PAN-PRD-MC|JACINTO SANCHEZ CARO|JUAN CARLOS ROSAS ROJAS
2|3|PAN-PRD|JACINTO SANCHEZ CARO|JUAN CARLOS ROSAS ROJAS
2|3|PAN-MC|JACINTO SANCHEZ CARO|JUAN CARLOS ROSAS ROJAS
2|3|PRD-MC|JACINTO SANCHEZ CARO|JUAN CARLOS ROSAS ROJAS
2|3|PT-MORENA-PES|ARMANDO REYES LEDESMA|CHRISTIAN HIRAM DUNN FITCH
2|3|PT-MORENA|ARMANDO REYES LEDESMA|CHRISTIAN HIRAM DUNN FITCH
2|3|PT-PES|ARMANDO REYES LEDESMA|CHRISTIAN HIRAM DUNN FITCH
2|3|MORENA-PES|ARMANDO REYES LEDESMA|CHRISTIAN HIRAM DUNN FITCH
2|4|PAN|RICARDO MAGAÑA MOSQUEDA|RAFAEL LABORIN VILLASEÑOR
2|4|PRI|VIANCCA LIZBETH BARRETO GONZALEZ|VERONICA DEL CARMEN SOLIS LOPEZ
2|4|PRD|RICARDO MAGAÑA MOSQUEDA|RAFAEL LABORIN VILLASEÑOR
2|4|PVEM|MARIO VALERIO HERNANDEZ|EROS EDUARDO HERNANDEZ FLORES
2|4|PT|SOCORRO IRMA ANDAZOLA GOMEZ|CARLOTA LARA GUZMAN
2|4|MC|RICARDO MAGAÑA MOSQUEDA|RAFAEL LABORIN VILLASEÑOR
2|4|PANAL|BLANCA NIDIA INZUNZA ANGULO|LAURA LETICIA REYES NUÑEZ
2|4|MORENA|SOCORRO IRMA ANDAZOLA GOMEZ|CARLOTA LARA GUZMAN
2|4|PES|SOCORRO IRMA ANDAZOLA GOMEZ|CARLOTA LARA GUZMAN
2|4|PAN-PRD-MC|RICARDO MAGAÑA MOSQUEDA|RAFAEL LABORIN VILLASEÑOR
